Gene,Screen,Plate,Project,Dataset,Image,Phenotype,Phenotype Term Name,Phenotype Term Accession,Phenotype Term Accession URL
OPHN1,idr0028-pascualvargas-rhogtpases/screenC (112),MDA-MB-231_siGENOME_1B,-,-,2973676,Triangular,cell with projections,CMPO_0000071,http://www.ebi.ac.uk/cmpo/CMPO_0000071
OPHN1,idr0028-pascualvargas-rhogtpases/screenC (112),MDA-MB-231_siGENOME_1B,-,-,2973676,Low total YAP/TAZ in nuclear and ring regions normalised to nuclear area,negative regulation of protein import into nucleus phenotype,CMPO_0000435,http://www.ebi.ac.uk/cmpo/CMPO_0000435
OPHN1,idr0028-pascualvargas-rhogtpases/screenC (112),MDA-MB-231_siGENOME_1B,-,-,2974857,"Large, spread",increased cell size phenotype,CMPO_0000128,http://www.ebi.ac.uk/cmpo/CMPO_0000128
OPHN1,idr0028-pascualvargas-rhogtpases/screenC (112),MDA-MB-231_siGENOME_1B,-,-,2974857,Fan,fan-shaped cell phenotype,CMPO_0000428,http://www.ebi.ac.uk/cmpo/CMPO_0000428
OPHN1,idr0028-pascualvargas-rhogtpases/screenC (112),MDA-MB-231_siGENOME_1B,-,-,2974857,High nuclear YAP/TAZ,increased level of polypetide in cell nucleus,CMPO_0000433,http://www.ebi.ac.uk/cmpo/CMPO_0000433
OPHN1,idr0028-pascualvargas-rhogtpases/screenC (112),MDA-MB-231_siGENOME_1B,-,-,2974857,Triangular,triangular shaped cell phenotype,CMPO_0000122,http://www.ebi.ac.uk/cmpo/CMPO_0000122
OPHN1,idr0028-pascualvargas-rhogtpases/screenC (112),MDA-MB-231_siGENOME_1B,-,-,2974857,Triangular,cell with projections,CMPO_0000071,http://www.ebi.ac.uk/cmpo/CMPO_0000071
OPHN1,idr0028-pascualvargas-rhogtpases/screenC (112),MDA-MB-231_siGENOME_1B,-,-,2974857,Low total YAP/TAZ in nuclear and ring regions normalised to nuclear area,negative regulation of protein import into nucleus phenotype,CMPO_0000435,http://www.ebi.ac.uk/cmpo/CMPO_0000435
OPHN1,idr0028-pascualvargas-rhogtpases/screenC (112),MDA-MB-231_siGENOME_1B,-,-,2974874,"Large, spread",increased cell size phenotype,CMPO_0000128,http://www.ebi.ac.uk/cmpo/CMPO_0000128
OPHN1,idr0028-pascualvargas-rhogtpases/screenC (112),MDA-MB-231_siGENOME_1B,-,-,2974874,Fan,fan-shaped cell phenotype,CMPO_0000428,http://www.ebi.ac.uk/cmpo/CMPO_0000428
OPHN1,idr0028-pascualvargas-rhogtpases/screenC (112),MDA-MB-231_siGENOME_1B,-,-,2974874,High nuclear YAP/TAZ,increased level of polypetide in cell nucleus,CMPO_0000433,http://www.ebi.ac.uk/cmpo/CMPO_0000433
OPHN1,idr0028-pascualvargas-rhogtpases/screenC (112),MDA-MB-231_siGENOME_1B,-,-,2974874,Triangular,triangular shaped cell phenotype,CMPO_0000122,http://www.ebi.ac.uk/cmpo/CMPO_0000122
OPHN1,idr0028-pascualvargas-rhogtpases/screenC (112),MDA-MB-231_siGENOME_1B,-,-,2974874,Triangular,cell with projections,CMPO_0000071,http://www.ebi.ac.uk/cmpo/CMPO_0000071
OPHN1,idr0028-pascualvargas-rhogtpases/screenC (112),MDA-MB-231_siGENOME_1B,-,-,2974874,Low total YAP/TAZ in nuclear and ring regions normalised to nuclear area,negative regulation of protein import into nucleus phenotype,CMPO_0000435,http://www.ebi.ac.uk/cmpo/CMPO_0000435
OPHN1,idr0028-pascualvargas-rhogtpases/screenC (112),MDA-MB-231_siGENOME_1B,-,-,2973657,"Large, spread",increased cell size phenotype,CMPO_0000128,http://www.ebi.ac.uk/cmpo/CMPO_0000128
OPHN1,idr0028-pascualvargas-rhogtpases/screenC (112),MDA-MB-231_siGENOME_1B,-,-,2973657,Fan,fan-shaped cell phenotype,CMPO_0000428,http://www.ebi.ac.uk/cmpo/CMPO_0000428
OPHN1,idr0028-pascualvargas-rhogtpases/screenC (112),MDA-MB-231_siGENOME_1B,-,-,2973657,High nuclear YAP/TAZ,increased level of polypetide in cell nucleus,CMPO_0000433,http://www.ebi.ac.uk/cmpo/CMPO_0000433
OPHN1,idr0028-pascualvargas-rhogtpases/screenC (112),MDA-MB-231_siGENOME_1B,-,-,2973657,Triangular,triangular shaped cell phenotype,CMPO_0000122,http://www.ebi.ac.uk/cmpo/CMPO_0000122
OPHN1,idr0028-pascualvargas-rhogtpases/screenC (112),MDA-MB-231_siGENOME_1B,-,-,2973657,Triangular,cell with projections,CMPO_0000071,http://www.ebi.ac.uk/cmpo/CMPO_0000071
OPHN1,idr0028-pascualvargas-rhogtpases/screenC (112),MDA-MB-231_siGENOME_1B,-,-,2973657,Low total YAP/TAZ in nuclear and ring regions normalised to nuclear area,negative regulation of protein import into nucleus phenotype,CMPO_0000435,http://www.ebi.ac.uk/cmpo/CMPO_0000435
OPHN1,idr0028-pascualvargas-rhogtpases/screenC (112),MDA-MB-231_siGENOME_1B,-,-,2974877,"Large, spread",increased cell size phenotype,CMPO_0000128,http://www.ebi.ac.uk/cmpo/CMPO_0000128
OPHN1,idr0028-pascualvargas-rhogtpases/screenC (112),MDA-MB-231_siGENOME_1B,-,-,2974877,Fan,fan-shaped cell phenotype,CMPO_0000428,http://www.ebi.ac.uk/cmpo/CMPO_0000428
OPHN1,idr0028-pascualvargas-rhogtpases/screenC (112),MDA-MB-231_siGENOME_1B,-,-,2974877,High nuclear YAP/TAZ,increased level of polypetide in cell nucleus,CMPO_0000433,http://www.ebi.ac.uk/cmpo/CMPO_0000433
OPHN1,idr0028-pascualvargas-rhogtpases/screenC (112),MDA-MB-231_siGENOME_1B,-,-,2974877,Triangular,triangular shaped cell phenotype,CMPO_0000122,http://www.ebi.ac.uk/cmpo/CMPO_0000122
OPHN1,idr0028-pascualvargas-rhogtpases/screenC (112),MDA-MB-231_siGENOME_1B,-,-,2974877,Triangular,cell with projections,CMPO_0000071,http://www.ebi.ac.uk/cmpo/CMPO_0000071
OPHN1,idr0028-pascualvargas-rhogtpases/screenC (112),MDA-MB-231_siGENOME_1B,-,-,2974877,Low total YAP/TAZ in nuclear and ring regions normalised to nuclear area,negative regulation of protein import into nucleus phenotype,CMPO_0000435,http://www.ebi.ac.uk/cmpo/CMPO_0000435
OPHN1,idr0028-pascualvargas-rhogtpases/screenC (112),MDA-MB-231_siGENOME_1B,-,-,2973674,"Large, spread",increased cell size phenotype,CMPO_0000128,http://www.ebi.ac.uk/cmpo/CMPO_0000128
OPHN1,idr0028-pascualvargas-rhogtpases/screenC (112),MDA-MB-231_siGENOME_1B,-,-,2973674,Fan,fan-shaped cell phenotype,CMPO_0000428,http://www.ebi.ac.uk/cmpo/CMPO_0000428
OPHN1,idr0028-pascualvargas-rhogtpases/screenC (112),MDA-MB-231_siGENOME_1B,-,-,2973674,High nuclear YAP/TAZ,increased level of polypetide in cell nucleus,CMPO_0000433,http://www.ebi.ac.uk/cmpo/CMPO_0000433
OPHN1,idr0028-pascualvargas-rhogtpases/screenC (112),MDA-MB-231_siGENOME_1B,-,-,2973674,Triangular,triangular shaped cell phenotype,CMPO_0000122,http://www.ebi.ac.uk/cmpo/CMPO_0000122
OPHN1,idr0028-pascualvargas-rhogtpases/screenC (112),MDA-MB-231_siGENOME_1B,-,-,2973674,Triangular,cell with projections,CMPO_0000071,http://www.ebi.ac.uk/cmpo/CMPO_0000071
OPHN1,idr0028-pascualvargas-rhogtpases/screenC (112),MDA-MB-231_siGENOME_1B,-,-,2973674,Low total YAP/TAZ in nuclear and ring regions normalised to nuclear area,negative regulation of protein import into nucleus phenotype,CMPO_0000435,http://www.ebi.ac.uk/cmpo/CMPO_0000435
OPHN1,idr0028-pascualvargas-rhogtpases/screenC (112),MDA-MB-231_siGENOME_1B,-,-,2974861,"Large, spread",increased cell size phenotype,CMPO_0000128,http://www.ebi.ac.uk/cmpo/CMPO_0000128
OPHN1,idr0028-pascualvargas-rhogtpases/screenC (112),MDA-MB-231_siGENOME_1B,-,-,2974861,Fan,fan-shaped cell phenotype,CMPO_0000428,http://www.ebi.ac.uk/cmpo/CMPO_0000428
OPHN1,idr0028-pascualvargas-rhogtpases/screenC (112),MDA-MB-231_siGENOME_1B,-,-,2974861,High nuclear YAP/TAZ,increased level of polypetide in cell nucleus,CMPO_0000433,http://www.ebi.ac.uk/cmpo/CMPO_0000433
OPHN1,idr0028-pascualvargas-rhogtpases/screenC (112),MDA-MB-231_siGENOME_1B,-,-,2974861,Triangular,triangular shaped cell phenotype,CMPO_0000122,http://www.ebi.ac.uk/cmpo/CMPO_0000122
OPHN1,idr0028-pascualvargas-rhogtpases/screenC (112),MDA-MB-231_siGENOME_1B,-,-,2974861,Triangular,cell with projections,CMPO_0000071,http://www.ebi.ac.uk/cmpo/CMPO_0000071
OPHN1,idr0028-pascualvargas-rhogtpases/screenC (112),MDA-MB-231_siGENOME_1B,-,-,2974861,Low total YAP/TAZ in nuclear and ring regions normalised to nuclear area,negative regulation of protein import into nucleus phenotype,CMPO_0000435,http://www.ebi.ac.uk/cmpo/CMPO_0000435
OPHN1,idr0028-pascualvargas-rhogtpases/screenC (112),MDA-MB-231_siGENOME_1B,-,-,2974866,"Large, spread",increased cell size phenotype,CMPO_0000128,http://www.ebi.ac.uk/cmpo/CMPO_0000128
OPHN1,idr0028-pascualvargas-rhogtpases/screenC (112),MDA-MB-231_siGENOME_1B,-,-,2974866,Fan,fan-shaped cell phenotype,CMPO_0000428,http://www.ebi.ac.uk/cmpo/CMPO_0000428
OPHN1,idr0028-pascualvargas-rhogtpases/screenC (112),MDA-MB-231_siGENOME_1B,-,-,2974866,High nuclear YAP/TAZ,increased level of polypetide in cell nucleus,CMPO_0000433,http://www.ebi.ac.uk/cmpo/CMPO_0000433
OPHN1,idr0028-pascualvargas-rhogtpases/screenC (112),MDA-MB-231_siGENOME_1B,-,-,2974866,Triangular,triangular shaped cell phenotype,CMPO_0000122,http://www.ebi.ac.uk/cmpo/CMPO_0000122
OPHN1,idr0028-pascualvargas-rhogtpases/screenC (112),MDA-MB-231_siGENOME_1B,-,-,2974866,Triangular,cell with projections,CMPO_0000071,http://www.ebi.ac.uk/cmpo/CMPO_0000071
OPHN1,idr0028-pascualvargas-rhogtpases/screenC (112),MDA-MB-231_siGENOME_1B,-,-,2974866,Low total YAP/TAZ in nuclear and ring regions normalised to nuclear area,negative regulation of protein import into nucleus phenotype,CMPO_0000435,http://www.ebi.ac.uk/cmpo/CMPO_0000435
OPHN1,idr0028-pascualvargas-rhogtpases/screenC (112),MDA-MB-231_siGENOME_1B,-,-,2974867,"Large, spread",increased cell size phenotype,CMPO_0000128,http://www.ebi.ac.uk/cmpo/CMPO_0000128
OPHN1,idr0028-pascualvargas-rhogtpases/screenC (112),MDA-MB-231_siGENOME_1B,-,-,2974867,Fan,fan-shaped cell phenotype,CMPO_0000428,http://www.ebi.ac.uk/cmpo/CMPO_0000428
OPHN1,idr0028-pascualvargas-rhogtpases/screenC (112),MDA-MB-231_siGENOME_1B,-,-,2974867,High nuclear YAP/TAZ,increased level of polypetide in cell nucleus,CMPO_0000433,http://www.ebi.ac.uk/cmpo/CMPO_0000433
OPHN1,idr0028-pascualvargas-rhogtpases/screenC (112),MDA-MB-231_siGENOME_1B,-,-,2974867,Triangular,triangular shaped cell phenotype,CMPO_0000122,http://www.ebi.ac.uk/cmpo/CMPO_0000122
OPHN1,idr0028-pascualvargas-rhogtpases/screenC (112),MDA-MB-231_siGENOME_1B,-,-,2974867,Triangular,cell with projections,CMPO_0000071,http://www.ebi.ac.uk/cmpo/CMPO_0000071
OPHN1,idr0028-pascualvargas-rhogtpases/screenC (112),MDA-MB-231_siGENOME_1B,-,-,2974867,Low total YAP/TAZ in nuclear and ring regions normalised to nuclear area,negative regulation of protein import into nucleus phenotype,CMPO_0000435,http://www.ebi.ac.uk/cmpo/CMPO_0000435
OPHN1,idr0028-pascualvargas-rhogtpases/screenC (112),MDA-MB-231_siGENOME_1B,-,-,2974876,"Large, spread",increased cell size phenotype,CMPO_0000128,http://www.ebi.ac.uk/cmpo/CMPO_0000128
OPHN1,idr0028-pascualvargas-rhogtpases/screenC (112),MDA-MB-231_siGENOME_1B,-,-,2974876,Fan,fan-shaped cell phenotype,CMPO_0000428,http://www.ebi.ac.uk/cmpo/CMPO_0000428
OPHN1,idr0028-pascualvargas-rhogtpases/screenC (112),MDA-MB-231_siGENOME_1B,-,-,2974876,High nuclear YAP/TAZ,increased level of polypetide in cell nucleus,CMPO_0000433,http://www.ebi.ac.uk/cmpo/CMPO_0000433
OPHN1,idr0028-pascualvargas-rhogtpases/screenC (112),MDA-MB-231_siGENOME_1B,-,-,2974876,Triangular,triangular shaped cell phenotype,CMPO_0000122,http://www.ebi.ac.uk/cmpo/CMPO_0000122
OPHN1,idr0028-pascualvargas-rhogtpases/screenC (112),MDA-MB-231_siGENOME_1B,-,-,2974876,Triangular,cell with projections,CMPO_0000071,http://www.ebi.ac.uk/cmpo/CMPO_0000071
OPHN1,idr0028-pascualvargas-rhogtpases/screenC (112),MDA-MB-231_siGENOME_1B,-,-,2974876,Low total YAP/TAZ in nuclear and ring regions normalised to nuclear area,negative regulation of protein import into nucleus phenotype,CMPO_0000435,http://www.ebi.ac.uk/cmpo/CMPO_0000435
OPHN1,idr0028-pascualvargas-rhogtpases/screenC (112),MDA-MB-231_siGENOME_1B,-,-,2973664,"Large, spread",increased cell size phenotype,CMPO_0000128,http://www.ebi.ac.uk/cmpo/CMPO_0000128
OPHN1,idr0028-pascualvargas-rhogtpases/screenC (112),MDA-MB-231_siGENOME_1B,-,-,2973664,Fan,fan-shaped cell phenotype,CMPO_0000428,http://www.ebi.ac.uk/cmpo/CMPO_0000428
OPHN1,idr0028-pascualvargas-rhogtpases/screenC (112),MDA-MB-231_siGENOME_1B,-,-,2973664,High nuclear YAP/TAZ,increased level of polypetide in cell nucleus,CMPO_0000433,http://www.ebi.ac.uk/cmpo/CMPO_0000433
OPHN1,idr0028-pascualvargas-rhogtpases/screenC (112),MDA-MB-231_siGENOME_1B,-,-,2973664,Triangular,triangular shaped cell phenotype,CMPO_0000122,http://www.ebi.ac.uk/cmpo/CMPO_0000122
OPHN1,idr0028-pascualvargas-rhogtpases/screenC (112),MDA-MB-231_siGENOME_1B,-,-,2973664,Triangular,cell with projections,CMPO_0000071,http://www.ebi.ac.uk/cmpo/CMPO_0000071
OPHN1,idr0028-pascualvargas-rhogtpases/screenC (112),MDA-MB-231_siGENOME_1B,-,-,2973664,Low total YAP/TAZ in nuclear and ring regions normalised to nuclear area,negative regulation of protein import into nucleus phenotype,CMPO_0000435,http://www.ebi.ac.uk/cmpo/CMPO_0000435
OPHN1,idr0028-pascualvargas-rhogtpases/screenC (112),MDA-MB-231_siGENOME_1B,-,-,2974879,"Large, spread",increased cell size phenotype,CMPO_0000128,http://www.ebi.ac.uk/cmpo/CMPO_0000128
OPHN1,idr0028-pascualvargas-rhogtpases/screenC (112),MDA-MB-231_siGENOME_1B,-,-,2974879,Fan,fan-shaped cell phenotype,CMPO_0000428,http://www.ebi.ac.uk/cmpo/CMPO_0000428
OPHN1,idr0028-pascualvargas-rhogtpases/screenC (112),MDA-MB-231_siGENOME_1B,-,-,2974879,High nuclear YAP/TAZ,increased level of polypetide in cell nucleus,CMPO_0000433,http://www.ebi.ac.uk/cmpo/CMPO_0000433
OPHN1,idr0028-pascualvargas-rhogtpases/screenC (112),MDA-MB-231_siGENOME_1B,-,-,2974879,Triangular,triangular shaped cell phenotype,CMPO_0000122,http://www.ebi.ac.uk/cmpo/CMPO_0000122
OPHN1,idr0028-pascualvargas-rhogtpases/screenC (112),MDA-MB-231_siGENOME_1B,-,-,2974879,Triangular,cell with projections,CMPO_0000071,http://www.ebi.ac.uk/cmpo/CMPO_0000071
OPHN1,idr0028-pascualvargas-rhogtpases/screenC (112),MDA-MB-231_siGENOME_1B,-,-,2974879,Low total YAP/TAZ in nuclear and ring regions normalised to nuclear area,negative regulation of protein import into nucleus phenotype,CMPO_0000435,http://www.ebi.ac.uk/cmpo/CMPO_0000435
OPHN1,idr0028-pascualvargas-rhogtpases/screenC (112),MDA-MB-231_siGENOME_1B,-,-,2973659,"Large, spread",increased cell size phenotype,CMPO_0000128,http://www.ebi.ac.uk/cmpo/CMPO_0000128
OPHN1,idr0028-pascualvargas-rhogtpases/screenC (112),MDA-MB-231_siGENOME_1B,-,-,2973659,Fan,fan-shaped cell phenotype,CMPO_0000428,http://www.ebi.ac.uk/cmpo/CMPO_0000428
OPHN1,idr0028-pascualvargas-rhogtpases/screenC (112),MDA-MB-231_siGENOME_1B,-,-,2973659,High nuclear YAP/TAZ,increased level of polypetide in cell nucleus,CMPO_0000433,http://www.ebi.ac.uk/cmpo/CMPO_0000433
OPHN1,idr0028-pascualvargas-rhogtpases/screenC (112),MDA-MB-231_siGENOME_1B,-,-,2973659,Triangular,triangular shaped cell phenotype,CMPO_0000122,http://www.ebi.ac.uk/cmpo/CMPO_0000122
OPHN1,idr0028-pascualvargas-rhogtpases/screenC (112),MDA-MB-231_siGENOME_1B,-,-,2973659,Triangular,cell with projections,CMPO_0000071,http://www.ebi.ac.uk/cmpo/CMPO_0000071
OPHN1,idr0028-pascualvargas-rhogtpases/screenC (112),MDA-MB-231_siGENOME_1B,-,-,2973659,Low total YAP/TAZ in nuclear and ring regions normalised to nuclear area,negative regulation of protein import into nucleus phenotype,CMPO_0000435,http://www.ebi.ac.uk/cmpo/CMPO_0000435
OPHN1,idr0028-pascualvargas-rhogtpases/screenC (112),MDA-MB-231_siGENOME_1B,-,-,2974875,"Large, spread",increased cell size phenotype,CMPO_0000128,http://www.ebi.ac.uk/cmpo/CMPO_0000128
OPHN1,idr0028-pascualvargas-rhogtpases/screenC (112),MDA-MB-231_siGENOME_1B,-,-,2974875,Fan,fan-shaped cell phenotype,CMPO_0000428,http://www.ebi.ac.uk/cmpo/CMPO_0000428
OPHN1,idr0028-pascualvargas-rhogtpases/screenC (112),MDA-MB-231_siGENOME_1B,-,-,2974875,High nuclear YAP/TAZ,increased level of polypetide in cell nucleus,CMPO_0000433,http://www.ebi.ac.uk/cmpo/CMPO_0000433
OPHN1,idr0028-pascualvargas-rhogtpases/screenC (112),MDA-MB-231_siGENOME_1B,-,-,2974875,Triangular,triangular shaped cell phenotype,CMPO_0000122,http://www.ebi.ac.uk/cmpo/CMPO_0000122
OPHN1,idr0028-pascualvargas-rhogtpases/screenC (112),MDA-MB-231_siGENOME_1B,-,-,2974875,Triangular,cell with projections,CMPO_0000071,http://www.ebi.ac.uk/cmpo/CMPO_0000071
OPHN1,idr0028-pascualvargas-rhogtpases/screenC (112),MDA-MB-231_siGENOME_1B,-,-,2974875,Low total YAP/TAZ in nuclear and ring regions normalised to nuclear area,negative regulation of protein import into nucleus phenotype,CMPO_0000435,http://www.ebi.ac.uk/cmpo/CMPO_0000435
OPHN1,idr0028-pascualvargas-rhogtpases/screenC (112),MDA-MB-231_siGENOME_1B,-,-,2973668,"Large, spread",increased cell size phenotype,CMPO_0000128,http://www.ebi.ac.uk/cmpo/CMPO_0000128
OPHN1,idr0028-pascualvargas-rhogtpases/screenC (112),MDA-MB-231_siGENOME_1B,-,-,2973668,Fan,fan-shaped cell phenotype,CMPO_0000428,http://www.ebi.ac.uk/cmpo/CMPO_0000428
OPHN1,idr0028-pascualvargas-rhogtpases/screenC (112),MDA-MB-231_siGENOME_1B,-,-,2973668,High nuclear YAP/TAZ,increased level of polypetide in cell nucleus,CMPO_0000433,http://www.ebi.ac.uk/cmpo/CMPO_0000433
OPHN1,idr0028-pascualvargas-rhogtpases/screenC (112),MDA-MB-231_siGENOME_1B,-,-,2973668,Triangular,triangular shaped cell phenotype,CMPO_0000122,http://www.ebi.ac.uk/cmpo/CMPO_0000122
OPHN1,idr0028-pascualvargas-rhogtpases/screenC (112),MDA-MB-231_siGENOME_1B,-,-,2973668,Triangular,cell with projections,CMPO_0000071,http://www.ebi.ac.uk/cmpo/CMPO_0000071
OPHN1,idr0028-pascualvargas-rhogtpases/screenC (112),MDA-MB-231_siGENOME_1B,-,-,2973668,Low total YAP/TAZ in nuclear and ring regions normalised to nuclear area,negative regulation of protein import into nucleus phenotype,CMPO_0000435,http://www.ebi.ac.uk/cmpo/CMPO_0000435
OPHN1,idr0028-pascualvargas-rhogtpases/screenC (112),MDA-MB-231_siGENOME_1B,-,-,2974864,"Large, spread",increased cell size phenotype,CMPO_0000128,http://www.ebi.ac.uk/cmpo/CMPO_0000128
OPHN1,idr0028-pascualvargas-rhogtpases/screenC (112),MDA-MB-231_siGENOME_1B,-,-,2974864,Fan,fan-shaped cell phenotype,CMPO_0000428,http://www.ebi.ac.uk/cmpo/CMPO_0000428
OPHN1,idr0028-pascualvargas-rhogtpases/screenC (112),MDA-MB-231_siGENOME_1B,-,-,2974864,High nuclear YAP/TAZ,increased level of polypetide in cell nucleus,CMPO_0000433,http://www.ebi.ac.uk/cmpo/CMPO_0000433
OPHN1,idr0028-pascualvargas-rhogtpases/screenC (112),MDA-MB-231_siGENOME_1B,-,-,2974864,Triangular,triangular shaped cell phenotype,CMPO_0000122,http://www.ebi.ac.uk/cmpo/CMPO_0000122
OPHN1,idr0028-pascualvargas-rhogtpases/screenC (112),MDA-MB-231_siGENOME_1B,-,-,2974864,Triangular,cell with projections,CMPO_0000071,http://www.ebi.ac.uk/cmpo/CMPO_0000071
OPHN1,idr0028-pascualvargas-rhogtpases/screenC (112),MDA-MB-231_siGENOME_1B,-,-,2974864,Low total YAP/TAZ in nuclear and ring regions normalised to nuclear area,negative regulation of protein import into nucleus phenotype,CMPO_0000435,http://www.ebi.ac.uk/cmpo/CMPO_0000435
OPHN1,idr0028-pascualvargas-rhogtpases/screenC (112),MDA-MB-231_siGENOME_1B,-,-,2974869,"Large, spread",increased cell size phenotype,CMPO_0000128,http://www.ebi.ac.uk/cmpo/CMPO_0000128
OPHN1,idr0028-pascualvargas-rhogtpases/screenC (112),MDA-MB-231_siGENOME_1B,-,-,2974869,Fan,fan-shaped cell phenotype,CMPO_0000428,http://www.ebi.ac.uk/cmpo/CMPO_0000428
OPHN1,idr0028-pascualvargas-rhogtpases/screenC (112),MDA-MB-231_siGENOME_1B,-,-,2974869,High nuclear YAP/TAZ,increased level of polypetide in cell nucleus,CMPO_0000433,http://www.ebi.ac.uk/cmpo/CMPO_0000433
OPHN1,idr0028-pascualvargas-rhogtpases/screenC (112),MDA-MB-231_siGENOME_1B,-,-,2974869,Triangular,triangular shaped cell phenotype,CMPO_0000122,http://www.ebi.ac.uk/cmpo/CMPO_0000122
OPHN1,idr0028-pascualvargas-rhogtpases/screenC (112),MDA-MB-231_siGENOME_1B,-,-,2974869,Triangular,cell with projections,CMPO_0000071,http://www.ebi.ac.uk/cmpo/CMPO_0000071
OPHN1,idr0028-pascualvargas-rhogtpases/screenC (112),MDA-MB-231_siGENOME_1B,-,-,2974869,Low total YAP/TAZ in nuclear and ring regions normalised to nuclear area,negative regulation of protein import into nucleus phenotype,CMPO_0000435,http://www.ebi.ac.uk/cmpo/CMPO_0000435
OPHN1,idr0028-pascualvargas-rhogtpases/screenC (112),MDA-MB-231_siGENOME_1B,-,-,2973654,"Large, spread",increased cell size phenotype,CMPO_0000128,http://www.ebi.ac.uk/cmpo/CMPO_0000128
OPHN1,idr0028-pascualvargas-rhogtpases/screenC (112),MDA-MB-231_siGENOME_1B,-,-,2973654,Fan,fan-shaped cell phenotype,CMPO_0000428,http://www.ebi.ac.uk/cmpo/CMPO_0000428
OPHN1,idr0028-pascualvargas-rhogtpases/screenC (112),MDA-MB-231_siGENOME_1B,-,-,2973654,High nuclear YAP/TAZ,increased level of polypetide in cell nucleus,CMPO_0000433,http://www.ebi.ac.uk/cmpo/CMPO_0000433
OPHN1,idr0028-pascualvargas-rhogtpases/screenC (112),MDA-MB-231_siGENOME_1B,-,-,2973654,Triangular,triangular shaped cell phenotype,CMPO_0000122,http://www.ebi.ac.uk/cmpo/CMPO_0000122
OPHN1,idr0028-pascualvargas-rhogtpases/screenC (112),MDA-MB-231_siGENOME_1B,-,-,2973654,Triangular,cell with projections,CMPO_0000071,http://www.ebi.ac.uk/cmpo/CMPO_0000071
OPHN1,idr0028-pascualvargas-rhogtpases/screenC (112),MDA-MB-231_siGENOME_1B,-,-,2973654,Low total YAP/TAZ in nuclear and ring regions normalised to nuclear area,negative regulation of protein import into nucleus phenotype,CMPO_0000435,http://www.ebi.ac.uk/cmpo/CMPO_0000435
OPHN1,idr0028-pascualvargas-rhogtpases/screenC (112),MDA-MB-231_siGENOME_1B,-,-,2973652,"Large, spread",increased cell size phenotype,CMPO_0000128,http://www.ebi.ac.uk/cmpo/CMPO_0000128
OPHN1,idr0028-pascualvargas-rhogtpases/screenC (112),MDA-MB-231_siGENOME_1B,-,-,2973652,Fan,fan-shaped cell phenotype,CMPO_0000428,http://www.ebi.ac.uk/cmpo/CMPO_0000428
OPHN1,idr0028-pascualvargas-rhogtpases/screenC (112),MDA-MB-231_siGENOME_1B,-,-,2973652,High nuclear YAP/TAZ,increased level of polypetide in cell nucleus,CMPO_0000433,http://www.ebi.ac.uk/cmpo/CMPO_0000433
OPHN1,idr0028-pascualvargas-rhogtpases/screenC (112),MDA-MB-231_siGENOME_1B,-,-,2973652,Triangular,triangular shaped cell phenotype,CMPO_0000122,http://www.ebi.ac.uk/cmpo/CMPO_0000122
OPHN1,idr0028-pascualvargas-rhogtpases/screenC (112),MDA-MB-231_siGENOME_1B,-,-,2973652,Triangular,cell with projections,CMPO_0000071,http://www.ebi.ac.uk/cmpo/CMPO_0000071
OPHN1,idr0028-pascualvargas-rhogtpases/screenC (112),MDA-MB-231_siGENOME_1B,-,-,2973652,Low total YAP/TAZ in nuclear and ring regions normalised to nuclear area,negative regulation of protein import into nucleus phenotype,CMPO_0000435,http://www.ebi.ac.uk/cmpo/CMPO_0000435
OPHN1,idr0028-pascualvargas-rhogtpases/screenC (112),MDA-MB-231_siGENOME_1B,-,-,2973658,"Large, spread",increased cell size phenotype,CMPO_0000128,http://www.ebi.ac.uk/cmpo/CMPO_0000128
OPHN1,idr0028-pascualvargas-rhogtpases/screenC (112),MDA-MB-231_siGENOME_1B,-,-,2973658,Fan,fan-shaped cell phenotype,CMPO_0000428,http://www.ebi.ac.uk/cmpo/CMPO_0000428
OPHN1,idr0028-pascualvargas-rhogtpases/screenC (112),MDA-MB-231_siGENOME_1B,-,-,2973658,High nuclear YAP/TAZ,increased level of polypetide in cell nucleus,CMPO_0000433,http://www.ebi.ac.uk/cmpo/CMPO_0000433
OPHN1,idr0028-pascualvargas-rhogtpases/screenC (112),MDA-MB-231_siGENOME_1B,-,-,2973658,Triangular,triangular shaped cell phenotype,CMPO_0000122,http://www.ebi.ac.uk/cmpo/CMPO_0000122
OPHN1,idr0028-pascualvargas-rhogtpases/screenC (112),MDA-MB-231_siGENOME_1B,-,-,2973658,Triangular,cell with projections,CMPO_0000071,http://www.ebi.ac.uk/cmpo/CMPO_0000071
OPHN1,idr0028-pascualvargas-rhogtpases/screenC (112),MDA-MB-231_siGENOME_1B,-,-,2973658,Low total YAP/TAZ in nuclear and ring regions normalised to nuclear area,negative regulation of protein import into nucleus phenotype,CMPO_0000435,http://www.ebi.ac.uk/cmpo/CMPO_0000435
OPHN1,idr0028-pascualvargas-rhogtpases/screenC (112),MDA-MB-231_siGENOME_1B,-,-,2974863,"Large, spread",increased cell size phenotype,CMPO_0000128,http://www.ebi.ac.uk/cmpo/CMPO_0000128
OPHN1,idr0028-pascualvargas-rhogtpases/screenC (112),MDA-MB-231_siGENOME_1B,-,-,2974863,Fan,fan-shaped cell phenotype,CMPO_0000428,http://www.ebi.ac.uk/cmpo/CMPO_0000428
